Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
113,39.68613167,-106.9452917,2206.7,,,,,,,,,
114,39.686055,-106.9453333,2205.6,,,,,,,,,
115,39.68595833,-106.9453533,2204.1,,,,,,,,,
116,39.68587167,-106.94534,2203.3,,,,,,,,,
117,39.68583667,-106.9453867,2201.7,,,,,,,,,
118,39.68581167,-106.9454117,2200.2,,,,,,,,,
119,39.68576167,-106.94542,2200.7,,,,,,,,,
120,39.68579833,-106.9454133,2200.5,,,,,,,,,
121,39.68584,-106.94543,2200.6,,,,,,,,,
122,39.68586,-106.94549,2200.4,,,,,,,,,
123,39.685835,-106.9455667,2200.5,,,,,,,,,
124,39.68581333,-106.9455933,2201.9,,,,,,,,,
125,39.68577833,-106.9456367,2202.6,,,,,,,,,
126,39.68575,-106.9456983,2203.7,,,,,,,,,
127,39.68571,-106.9457683,2204.4,,,,,,,,,
128,39.685655,-106.9458383,2204.2,,,,,,,,,
129,39.68560167,-106.94592,2203.6,,,,,,,,,
130,39.685525,-106.9459317,2203.9,,,,,,,,,
131,39.68545167,-106.9458933,2204.1,,,,,,,,,
132,39.68541333,-106.9458283,2204.8,,,,,,,,,
133,39.68534833,-106.9457867,2205.4,,,,,,,,,
134,39.68532667,-106.9456883,2206.5,,,,,,,,,
135,39.68535833,-106.9455917,2207.2,,,,,,,,,
136,39.685385,-106.9455117,2208.2,,,,,,,,,
137,39.68537333,-106.94541,2208.3,,,,,,,,,
138,39.68531,-106.9454,2208.4,,,,,,,,,
139,39.68527,-106.9454417,2207.7,,,,,,,,,
140,39.68519333,-106.94544,2206.7,,,,,,,,,
141,39.68507333,-106.945375,2206.4,,,,,,,,,
142,39.68497,-106.945345,2205.7,,,,,,,,,
143,39.68485667,-106.9453133,2205.1,,,,,,,,,
144,39.68475,-106.9453217,2204.4,,,,,,,,,
145,39.684655,-106.9453217,2204.2,,,,,,,,,
146,39.68458333,-106.9453017,2204.3,,,,,,,,,
147,39.68449833,-106.94529,2204.2,,,,,,,,,
148,39.684425,-106.94531,2204.5,,,,,,,,,
149,39.684365,-106.94533,2205.1,,,,,,,,,
150,39.684295,-106.945295,2204.8,,,,,,,,,
151,39.684235,-106.9452767,2205.3,,,,,,,,,
152,39.68417,-106.9452533,2205.8,,,,,,,,,
153,39.68409667,-106.9452183,2206.4,,,,,,,,,
154,39.68402667,-106.94521,2206.3,,,,,,,,,
155,39.68397833,-106.9451583,2206.8,,,,,,,,,
156,39.68391167,-106.9451217,2207.2,,,,,,,,,
157,39.68386833,-106.94508,2208,,,,,,,,,
158,39.68382667,-106.9450433,2208.1,,,,,,,,,
159,39.68379,-106.9449983,2208.9,,,,,,,,,
160,39.68373333,-106.944975,2209.7,,,,,,,,,
161,39.68367333,-106.944955,2210.2,,,,,,,,,
162,39.683625,-106.9449417,2210.9,,,,,,,,,
163,39.68357667,-106.9448883,2211.8,,,,,,,,,
164,39.68352333,-106.9448733,2212.6,,,,,,,,,
165,39.68346333,-106.9448467,2213,,,,,,,,,
166,39.68341333,-106.9448033,2213.5,,,,,,,,,
167,39.68333833,-106.9447883,2213.2,,,,,,,,,
168,39.68327,-106.9447867,2213.4,,,,,,,,,
169,39.6832,-106.944775,2213.8,,,,,,,,,
170,39.68313667,-106.9447783,2213.7,,,,,,,,,
171,39.683085,-106.944775,2213.5,,,,,,,,,
172,39.68301667,-106.944755,2213.7,,,,,,,,,
173,39.682955,-106.9447383,2214.6,,,,,,,,,
174,39.68290833,-106.9447183,2214.1,,,,,,,,,
175,39.682855,-106.9447117,2214.7,,,,,,,,,
176,39.68282333,-106.9447233,2214.6,,,,,,,,,
177,39.68283667,-106.94475,2213.8,,,,,,,,,
178,39.682845,-106.9448083,2214.8,,,,,,,,,
179,39.68288,-106.94484,2212.9,,,,,,,,,
180,39.68287667,-106.9449133,2211.3,,,,,,,,,
181,39.68290333,-106.944955,2209.7,,,,,,,,,
182,39.68288333,-106.945035,2211.4,,,,,,,,,
183,39.68287833,-106.94511,2212.3,,,,,,,,,
184,39.68287833,-106.94517,2212.3,,,,,,,,,
185,39.68287167,-106.9452117,2212.3,,,,,,,,,
186,39.68287,-106.94527,2211.3,,,,,,,,,
187,39.68287833,-106.9453317,2211.8,,,,,,,,,
188,39.68288167,-106.9453767,2211.9,,,,,,,,,
189,39.68289667,-106.9454267,2212.2,,,,,,,,,
190,39.68291167,-106.945485,2212.4,,,,,,,,,
191,39.68292667,-106.9455567,2213.8,,,,,,,,,
192,39.68293667,-106.9456283,2213.7,,,,,,,,,
193,39.68290833,-106.9457167,2214.1,,,,,,,,,
194,39.68288667,-106.9457683,2214.5,,,,,,,,,
195,39.68285333,-106.9458383,2215.1,,,,,,,,,
196,39.68283333,-106.9459267,2215,,,,,,,,,
197,39.68276167,-106.9460117,2214.9,,,,,,,,,
198,39.68277,-106.946095,2215.3,,,,,,,,,
199,39.68274167,-106.9462,2215.4,,,,,,,,,
200,39.68270167,-106.94629,2215.3,,,,,,,,,
201,39.68269167,-106.9463717,2215.9,,,,,,,,,
202,39.68269667,-106.9464517,2215.9,,,,,,,,,
